complaint_id,customer_id,complaint_date,complaint_category
5001,1005,2022-11-27,Technical
5002,1005,2022-03-29,Customer Support
5003,1005,2024-05-21,Technical
5004,1006,2022-12-10,Pricing
5005,1006,2024-03-16,Service
5006,1010,2023-04-20,Technical
5007,1012,2022-07-09,Technical
5008,1012,2024-04-11,Billing
5009,1012,2023-10-09,Customer Support
5010,1013,2023-01-23,Billing
5011,1013,2022-11-12,Service
5012,1015,2022-04-02,Pricing
5013,1015,2023-05-24,Technical
5014,1019,2023-07-20,Service
5015,1019,2023-12-04,Service
5016,1025,2024-10-13,Customer Support
5017,1025,2023-12-21,Customer Support
5018,1025,2022-12-04,Customer Support
5019,1026,2024-02-03,Pricing
5020,1028,2022-03-06,Billing
5021,1028,2023-06-05,Billing
5022,1028,2023-10-10,Technical
5023,1038,2023-02-11,Customer Support
5024,1038,2022-04-09,Pricing
5025,1038,2023-12-27,Technical
5026,1046,2024-11-04,Service
5027,1046,2024-06-10,Customer Support
5028,1046,2024-05-13,Billing
5029,1054,2023-08-01,Service
5030,1054,2023-07-11,Billing
5031,1054,2024-10-09,Pricing
5032,1062,2023-09-25,Pricing
5033,1063,2023-12-11,Technical
5034,1063,2023-10-11,Customer Support
5035,1063,2023-11-15,Technical
5036,1067,2023-03-18,Pricing
5037,1071,2023-11-30,Billing
5038,1073,2023-01-20,Technical
5039,1073,2024-12-12,Pricing
5040,1073,2023-12-31,Pricing
5041,1074,2023-02-05,Customer Support
5042,1074,2024-06-02,Service
5043,1074,2022-07-17,Technical
5044,1078,2023-10-22,Pricing
5045,1080,2022-05-27,Pricing
5046,1080,2024-05-13,Pricing
5047,1080,2023-05-04,Billing
5048,1081,2022-12-04,Billing
5049,1081,2023-04-18,Service
5050,1081,2022-05-31,Service
5051,1085,2022-01-02,Billing
5052,1086,2024-11-26,Technical
5053,1102,2022-12-04,Service
5054,1102,2024-04-01,Technical
5055,1104,2024-03-11,Customer Support
5056,1109,2023-04-15,Customer Support
5057,1109,2023-07-17,Technical
5058,1109,2022-01-27,Service
5059,1110,2022-10-11,Billing
5060,1114,2022-01-17,Pricing
5061,1119,2023-05-12,Customer Support
5062,1120,2022-07-10,Customer Support
5063,1129,2024-05-03,Service
5064,1129,2022-06-04,Service
5065,1129,2024-02-24,Billing
5066,1130,2024-11-28,Customer Support
5067,1130,2024-01-29,Service
5068,1143,2024-05-03,Technical
5069,1143,2023-07-29,Customer Support
5070,1143,2022-05-30,Service
5071,1145,2024-04-17,Technical
5072,1145,2023-03-20,Customer Support
5073,1150,2024-09-18,Pricing
5074,1153,2023-01-05,Pricing
5075,1155,2024-12-17,Service
5076,1155,2024-01-11,Service
5077,1155,2022-04-27,Billing
5078,1157,2023-05-28,Service
5079,1157,2023-07-14,Billing
5080,1164,2024-09-23,Billing
5081,1164,2024-12-28,Billing
5082,1168,2023-03-08,Customer Support
5083,1168,2023-07-05,Pricing
5084,1174,2024-02-01,Technical
5085,1174,2023-03-18,Billing
5086,1174,2024-10-12,Customer Support
5087,1184,2023-11-22,Technical
5088,1186,2024-12-02,Pricing
5089,1187,2023-05-14,Service
5090,1187,2022-02-04,Billing
5091,1187,2022-03-31,Customer Support
5092,1189,2022-04-25,Billing
5093,1189,2024-04-05,Customer Support
5094,1192,2024-10-17,Billing
5095,1193,2023-04-02,Technical
5096,1204,2022-03-03,Pricing
5097,1206,2024-11-08,Billing
5098,1206,2023-01-31,Customer Support
5099,1206,2022-03-17,Billing
5100,1219,2024-07-23,Service
5101,1219,2024-01-03,Technical
5102,1227,2024-08-03,Technical
5103,1229,2022-12-05,Customer Support
5104,1230,2023-05-26,Billing
5105,1232,2023-03-21,Pricing
5106,1232,2022-06-16,Technical
5107,1232,2023-12-15,Service
5108,1236,2024-12-17,Pricing
5109,1236,2023-04-21,Customer Support
5110,1242,2024-04-03,Billing
5111,1245,2024-03-25,Customer Support
5112,1246,2022-07-22,Pricing
5113,1247,2022-02-16,Billing
5114,1247,2023-10-18,Billing
5115,1247,2024-08-28,Pricing
5116,1249,2024-08-29,Pricing
5117,1249,2023-01-08,Service
5118,1251,2023-06-24,Pricing
5119,1251,2024-05-18,Billing
5120,1253,2024-07-17,Customer Support
5121,1253,2023-04-06,Pricing
5122,1253,2024-01-22,Customer Support
5123,1254,2023-01-25,Service
5124,1254,2024-06-01,Customer Support
5125,1254,2023-03-26,Service
5126,1257,2024-10-12,Billing
5127,1257,2023-01-09,Billing
5128,1257,2022-05-26,Billing
5129,1263,2023-05-26,Billing
5130,1264,2023-06-02,Pricing
5131,1264,2023-12-10,Customer Support
5132,1264,2024-02-10,Customer Support
5133,1269,2022-01-01,Technical
5134,1274,2024-12-31,Service
5135,1274,2022-09-07,Service
5136,1274,2023-03-14,Technical
5137,1275,2024-12-13,Pricing
5138,1279,2024-07-07,Customer Support
5139,1279,2024-05-02,Service
5140,1279,2022-03-16,Technical
5141,1285,2023-03-23,Service
5142,1285,2022-09-06,Billing
5143,1285,2024-09-10,Pricing
5144,1286,2022-03-22,Customer Support
5145,1286,2024-03-07,Pricing
5146,1290,2023-06-30,Customer Support
5147,1295,2024-04-27,Technical
5148,1295,2024-06-18,Pricing
5149,1295,2022-10-08,Technical
5150,1297,2022-03-02,Service
5151,1297,2024-12-10,Technical
5152,1301,2023-10-07,Billing
5153,1301,2023-06-08,Service
5154,1303,2024-03-04,Billing
5155,1303,2022-02-16,Billing
5156,1308,2022-01-08,Billing
5157,1317,2024-06-01,Technical
5158,1317,2024-07-07,Technical
5159,1317,2024-03-16,Technical
5160,1319,2023-04-30,Pricing
5161,1319,2023-12-15,Billing
5162,1319,2022-03-27,Service
5163,1321,2022-01-25,Pricing
5164,1330,2023-11-23,Service
5165,1332,2024-05-26,Customer Support
5166,1332,2023-10-24,Customer Support
5167,1332,2023-09-16,Pricing
5168,1334,2024-04-02,Billing
5169,1334,2024-01-29,Technical
5170,1338,2023-04-13,Pricing
5171,1338,2022-03-16,Pricing
5172,1339,2024-05-30,Technical
5173,1339,2023-07-28,Billing
5174,1344,2024-04-15,Technical
5175,1344,2023-12-25,Billing
5176,1349,2022-05-19,Pricing
5177,1349,2024-04-24,Technical
5178,1350,2023-11-21,Service
5179,1350,2022-09-18,Service
5180,1357,2022-11-14,Pricing
5181,1357,2022-08-24,Service
5182,1358,2023-08-11,Technical
5183,1358,2023-05-28,Pricing
5184,1358,2024-05-22,Customer Support
5185,1364,2024-12-01,Billing
5186,1370,2022-05-23,Billing
5187,1370,2023-10-27,Billing
5188,1370,2024-10-03,Service
5189,1374,2023-08-02,Technical
5190,1374,2023-07-08,Pricing
5191,1380,2024-10-17,Customer Support
5192,1382,2023-06-01,Technical
5193,1382,2024-05-14,Customer Support
5194,1383,2022-08-04,Pricing
5195,1386,2022-11-20,Pricing
5196,1386,2022-05-10,Technical
5197,1386,2022-04-05,Technical
5198,1393,2024-03-25,Service
5199,1393,2022-10-29,Technical
5200,1393,2023-01-31,Service
5201,1397,2024-09-30,Pricing
5202,1397,2024-10-04,Pricing
5203,1397,2024-06-06,Customer Support
5204,1407,2023-02-24,Billing
5205,1410,2023-10-23,Billing
5206,1410,2022-07-21,Pricing
5207,1410,2022-11-09,Customer Support
5208,1412,2022-03-16,Service
5209,1414,2023-10-02,Technical
5210,1414,2024-08-12,Pricing
5211,1414,2024-02-02,Technical
5212,1418,2022-06-26,Customer Support
5213,1421,2024-12-08,Billing
5214,1423,2022-12-08,Pricing
5215,1423,2024-12-22,Customer Support
5216,1427,2024-08-09,Technical
5217,1427,2022-02-01,Customer Support
5218,1427,2023-03-05,Customer Support
5219,1430,2024-10-06,Service
5220,1430,2023-05-17,Pricing
5221,1432,2024-04-10,Pricing
5222,1432,2024-07-13,Technical
5223,1432,2024-03-10,Service
5224,1433,2022-06-11,Pricing
5225,1433,2022-03-28,Pricing
5226,1453,2024-01-05,Service
5227,1453,2022-01-07,Service
5228,1454,2022-05-27,Customer Support
5229,1454,2024-07-03,Pricing
5230,1454,2023-12-01,Service
5231,1459,2023-01-31,Pricing
5232,1459,2022-09-18,Customer Support
5233,1459,2024-07-22,Billing
5234,1464,2023-09-24,Technical
5235,1464,2022-05-08,Billing
5236,1472,2023-03-18,Customer Support
5237,1472,2023-09-02,Customer Support
5238,1473,2022-05-08,Customer Support
5239,1473,2022-02-11,Pricing
5240,1475,2024-09-24,Service
5241,1477,2022-01-27,Billing
5242,1477,2023-10-08,Technical
5243,1484,2022-05-10,Pricing
5244,1484,2024-03-29,Customer Support
5245,1498,2024-08-15,Technical
5246,1498,2022-12-31,Technical
5247,1498,2023-04-27,Billing
5248,1500,2022-10-23,Billing
