ticket_id,customer_id,ticket_date,issue_type,resolution_days
4001,1001,2024-05-10,Payment Failure,3
4002,1001,2024-12-31,Technical Problem,1
4003,1003,2023-04-12,Login Issue,3
4004,1003,2022-03-29,Technical Problem,1
4005,1004,2024-02-09,Technical Problem,2
4006,1004,2024-08-13,Login Issue,1
4007,1004,2023-04-05,Billing,2
4008,1005,2024-01-18,Subscription Change,5
4009,1007,2023-05-26,Technical Problem,2
4010,1007,2023-12-01,Payment Failure,3
4011,1008,2024-04-11,Technical Problem,1
4012,1009,2023-10-09,Subscription Change,1
4013,1009,2022-06-16,Billing,2
4014,1010,2022-11-12,Billing,10
4015,1010,2024-02-16,Login Issue,6
4016,1010,2024-06-16,Subscription Change,8
4017,1011,2023-05-24,Payment Failure,3
4018,1011,2022-07-25,Technical Problem,1
4019,1011,2024-10-22,Payment Failure,2
4020,1012,2023-12-04,Login Issue,2
4021,1013,2022-06-11,Payment Failure,6
4022,1014,2022-09-27,Payment Failure,3
4023,1015,2024-10-13,Payment Failure,2
4024,1015,2023-12-21,Subscription Change,1
4025,1015,2024-05-28,Login Issue,1
4026,1016,2022-08-05,Login Issue,8
4027,1016,2023-01-15,Payment Failure,9
4028,1016,2022-01-15,Billing,9
4029,1019,2023-10-10,Billing,7
4030,1019,2023-08-16,Technical Problem,7
4031,1020,2023-01-14,Billing,1
4032,1020,2022-08-19,Login Issue,2
4033,1022,2024-02-19,Billing,2
4034,1022,2024-12-07,Billing,3
4035,1022,2022-04-09,Subscription Change,2
4036,1023,2024-08-18,Technical Problem,3
4037,1023,2023-10-05,Subscription Change,1
4038,1025,2023-01-28,Technical Problem,3
4039,1026,2024-06-10,Login Issue,9
4040,1026,2024-05-13,Technical Problem,5
4041,1027,2022-04-06,Subscription Change,2
4042,1027,2022-08-19,Subscription Change,1
4043,1027,2023-06-25,Technical Problem,1
4044,1028,2023-08-01,Technical Problem,6
4045,1028,2024-10-09,Subscription Change,10
4046,1028,2024-11-17,Payment Failure,8
4047,1029,2022-07-09,Payment Failure,1
4048,1029,2023-09-25,Billing,1
4049,1029,2023-12-11,Billing,3
4050,1031,2023-11-15,Subscription Change,3
4051,1032,2023-03-18,Billing,8
4052,1032,2024-08-09,Payment Failure,5
4053,1033,2022-01-02,Billing,6
4054,1033,2024-05-04,Payment Failure,9
4055,1034,2023-01-20,Billing,3
4056,1034,2024-12-12,Login Issue,2
4057,1034,2022-07-22,Payment Failure,3
4058,1036,2024-06-02,Subscription Change,6
4059,1036,2024-01-22,Technical Problem,5
4060,1038,2023-04-09,Technical Problem,1
4061,1038,2023-10-22,Technical Problem,3
4062,1038,2023-02-07,Payment Failure,2
4063,1039,2024-05-13,Technical Problem,3
4064,1039,2023-05-04,Payment Failure,1
4065,1040,2024-05-21,Login Issue,1
4066,1040,2023-04-18,Technical Problem,2
4067,1040,2022-09-20,Login Issue,2
4068,1041,2024-05-30,Billing,2
4069,1041,2022-09-11,Billing,1
4070,1041,2024-10-11,Subscription Change,1
4071,1043,2024-03-26,Technical Problem,3
4072,1043,2022-06-01,Payment Failure,2
4073,1044,2023-09-20,Billing,3
4074,1044,2022-04-14,Billing,2
4075,1044,2023-05-25,Technical Problem,1
4076,1045,2024-07-02,Billing,2
4077,1045,2024-04-01,Login Issue,3
4078,1046,2022-06-10,Subscription Change,1
4079,1046,2024-03-26,Subscription Change,3
4080,1046,2023-02-05,Technical Problem,1
4081,1047,2024-08-12,Payment Failure,3
4082,1047,2023-07-17,Subscription Change,2
4083,1047,2022-01-27,Technical Problem,2
4084,1049,2022-10-11,Billing,3
4085,1050,2023-03-29,Billing,1
4086,1050,2023-07-01,Technical Problem,1
4087,1050,2022-06-07,Billing,1
4088,1051,2023-06-02,Subscription Change,3
4089,1052,2024-11-26,Billing,1
4090,1052,2022-10-29,Billing,1
4091,1052,2023-12-01,Technical Problem,1
4092,1053,2024-09-07,Subscription Change,3
4093,1053,2022-05-08,Billing,2
4094,1053,2023-07-20,Billing,2
4095,1054,2024-05-03,Login Issue,3
4096,1054,2022-06-04,Login Issue,2
4097,1055,2024-02-24,Login Issue,1
4098,1057,2024-01-29,Subscription Change,2
4099,1057,2024-07-09,Technical Problem,1
4100,1058,2024-06-21,Login Issue,1
4101,1058,2023-11-16,Payment Failure,1
4102,1058,2023-04-16,Payment Failure,3
4103,1059,2024-04-13,Login Issue,3
4104,1059,2023-07-29,Technical Problem,2
4105,1059,2022-05-30,Subscription Change,2
4106,1060,2023-11-13,Billing,10
4107,1061,2023-03-20,Technical Problem,1
4108,1061,2022-09-21,Billing,1
4109,1062,2022-01-05,Payment Failure,8
4110,1062,2024-09-18,Subscription Change,8
4111,1062,2024-04-02,Technical Problem,8
4112,1063,2023-01-05,Subscription Change,8
4113,1063,2023-10-19,Login Issue,7
4114,1063,2024-12-17,Payment Failure,6
4115,1065,2024-03-01,Subscription Change,3
4116,1067,2024-12-17,Subscription Change,6
4117,1067,2024-03-12,Billing,10
4118,1067,2023-05-03,Billing,9
4119,1070,2023-12-05,Subscription Change,3
4120,1070,2024-02-29,Subscription Change,1
4121,1070,2022-06-03,Technical Problem,3
4122,1072,2024-12-28,Billing,5
4123,1073,2023-03-29,Payment Failure,8
4124,1074,2023-04-19,Login Issue,1
4125,1074,2022-12-23,Payment Failure,3
4126,1074,2023-06-06,Login Issue,2
4127,1076,2024-02-01,Login Issue,7
4128,1076,2024-02-08,Login Issue,9
4129,1076,2023-05-31,Subscription Change,6
4130,1078,2024-05-01,Technical Problem,8
4131,1078,2023-01-15,Login Issue,5
4132,1078,2024-08-14,Billing,7
4133,1079,2024-12-02,Subscription Change,1
4134,1079,2022-01-12,Subscription Change,3
4135,1080,2023-05-14,Login Issue,2
4136,1081,2022-03-31,Billing,9
4137,1081,2024-08-27,Login Issue,6
4138,1082,2022-04-25,Login Issue,1
4139,1083,2024-04-05,Payment Failure,1
4140,1083,2023-02-17,Login Issue,1
4141,1087,2023-04-02,Login Issue,3
4142,1087,2024-09-04,Billing,1
4143,1087,2022-10-06,Subscription Change,1
4144,1088,2022-03-03,Billing,1
4145,1088,2023-11-30,Subscription Change,3
4146,1090,2023-03-21,Payment Failure,1
4147,1090,2022-03-17,Technical Problem,1
4148,1090,2023-12-19,Payment Failure,3
4149,1091,2024-04-30,Payment Failure,2
4150,1091,2024-12-28,Subscription Change,3
