customer_id,gender,age,city,join_date,customer_segment
1001,Male,34,Bristol,2020-02-11,Premium
1002,Female,26,Manchester,2021-11-08,Standard
1003,Female,50,Leeds,2021-08-16,Standard
1004,Female,37,Manchester,2023-12-23,Basic
1005,Male,30,Liverpool,2024-12-31,Standard
1006,Male,45,London,2023-03-27,Standard
1007,Male,46,London,2023-05-24,Standard
1008,Female,30,Leeds,2024-08-20,Standard
1009,Female,63,London,2024-01-25,Basic
1010,Female,52,London,2020-05-13,Premium
1011,Male,23,Leeds,2022-12-26,Basic
1012,Female,35,Bristol,2022-10-27,Standard
1013,Female,22,Bristol,2022-08-05,Basic
1014,Male,64,Leeds,2024-03-29,Standard
1015,Male,42,Liverpool,2020-03-13,Standard
1016,Male,19,London,2021-02-02,Basic
1017,Male,27,London,2023-11-29,Premium
1018,Female,47,Liverpool,2024-08-25,Basic
1019,Male,62,Bristol,2021-07-31,Standard
1020,Male,22,Birmingham,2022-05-08,Premium
1021,Female,50,Birmingham,2020-05-09,Standard
1022,Male,18,Birmingham,2022-07-19,Basic
1023,Male,35,Bristol,2024-01-29,Premium
1024,Male,49,Bristol,2023-05-14,Standard
1025,Male,64,Liverpool,2024-12-16,Standard
1026,Female,28,London,2024-11-26,Standard
1027,Male,38,Liverpool,2020-09-22,Premium
1028,Female,43,Liverpool,2024-04-09,Basic
1029,Female,42,Bristol,2022-03-03,Basic
1030,Male,39,Birmingham,2020-09-09,Basic
1031,Female,44,Manchester,2022-04-01,Basic
1032,Male,30,London,2023-08-05,Premium
1033,Male,50,Bristol,2020-06-12,Basic
1034,Female,51,Birmingham,2020-04-04,Premium
1035,Female,58,Manchester,2024-12-10,Premium
1036,Female,52,Manchester,2022-04-12,Standard
1037,Male,18,Bristol,2023-02-07,Standard
1038,Male,38,Leeds,2020-12-01,Basic
1039,Female,23,London,2022-04-01,Standard
1040,Male,45,Manchester,2020-08-25,Standard
1041,Male,34,Bristol,2021-01-15,Standard
1042,Male,22,Bristol,2023-12-30,Basic
1043,Male,48,Birmingham,2022-06-17,Standard
1044,Female,22,Leeds,2021-04-27,Standard
1045,Male,55,London,2022-06-20,Premium
1046,Female,20,Liverpool,2022-11-14,Basic
1047,Male,40,Birmingham,2024-08-03,Standard
1048,Female,54,Manchester,2023-02-14,Standard
1049,Female,54,Manchester,2021-04-26,Premium
1050,Male,27,Birmingham,2023-11-16,Standard
1051,Female,27,Bristol,2022-07-05,Standard
1052,Female,36,Manchester,2022-09-20,Standard
1053,Female,34,Leeds,2022-08-21,Basic
1054,Female,38,London,2021-06-20,Premium
1055,Female,31,Leeds,2023-01-07,Standard
1056,Female,26,Manchester,2024-05-22,Basic
1057,Male,63,Liverpool,2023-04-11,Standard
1058,Male,18,London,2022-11-01,Standard
1059,Male,62,London,2024-12-28,Standard
1060,Male,30,Birmingham,2020-05-07,Standard
1061,Male,21,Birmingham,2024-06-19,Basic
1062,Male,18,Liverpool,2020-04-01,Standard
1063,Female,57,Bristol,2024-08-03,Basic
1064,Male,49,London,2021-06-26,Standard
1065,Male,51,Liverpool,2022-04-25,Standard
1066,Female,45,Birmingham,2024-04-04,Premium
1067,Male,48,Birmingham,2024-08-08,Standard
1068,Female,25,London,2022-09-15,Standard
1069,Male,56,Leeds,2021-03-22,Basic
1070,Female,43,Manchester,2021-01-24,Standard
1071,Female,51,Birmingham,2021-11-02,Basic
1072,Male,20,Bristol,2020-02-12,Premium
1073,Male,29,Bristol,2020-09-10,Basic
1074,Female,18,Birmingham,2023-02-27,Basic
1075,Female,61,Leeds,2022-12-19,Basic
1076,Female,22,Leeds,2021-10-24,Basic
1077,Female,47,Liverpool,2021-04-11,Basic
1078,Male,47,Bristol,2020-10-13,Standard
1079,Male,34,Liverpool,2022-10-07,Premium
1080,Male,64,Bristol,2024-03-20,Premium
1081,Female,40,Manchester,2024-01-30,Basic
1082,Female,32,Manchester,2022-02-16,Standard
1083,Male,54,London,2020-12-10,Basic
1084,Male,38,Liverpool,2021-10-03,Standard
1085,Male,31,Birmingham,2021-01-16,Premium
1086,Male,19,Liverpool,2024-12-07,Premium
1087,Female,28,Birmingham,2021-11-20,Standard
1088,Female,56,Leeds,2023-06-30,Standard
1089,Female,55,Liverpool,2022-12-15,Standard
1090,Male,51,Leeds,2024-01-26,Standard
1091,Male,55,Manchester,2021-04-01,Premium
1092,Female,51,Manchester,2022-09-09,Standard
1093,Female,35,London,2020-03-23,Standard
1094,Female,47,Liverpool,2023-01-27,Basic
1095,Female,32,Leeds,2020-05-28,Standard
1096,Male,44,Birmingham,2023-09-14,Standard
1097,Female,51,Manchester,2023-03-25,Premium
1098,Male,55,Manchester,2020-07-08,Premium
1099,Male,50,Birmingham,2024-02-26,Standard
1100,Male,41,Leeds,2022-06-01,Standard
1101,Male,32,Leeds,2020-09-19,Standard
1102,Female,47,Liverpool,2023-01-08,Standard
1103,Male,59,Liverpool,2021-02-03,Standard
1104,Female,34,Bristol,2022-02-02,Basic
1105,Female,22,Bristol,2021-08-31,Basic
1106,Male,46,London,2023-07-07,Premium
1107,Male,21,Manchester,2024-11-30,Standard
1108,Female,27,Liverpool,2024-06-26,Premium
1109,Male,34,Leeds,2024-04-24,Standard
1110,Male,27,Birmingham,2022-02-23,Basic
1111,Male,34,Leeds,2020-04-10,Premium
1112,Male,37,Manchester,2023-10-14,Standard
1113,Female,41,Bristol,2023-11-04,Standard
1114,Female,22,Leeds,2022-03-30,Basic
1115,Female,51,London,2023-05-29,Standard
1116,Female,23,Manchester,2022-03-30,Premium
1117,Female,19,Bristol,2021-02-23,Standard
1118,Male,30,Birmingham,2020-05-03,Standard
1119,Female,60,Bristol,2021-02-25,Premium
1120,Female,60,London,2023-06-08,Standard
1121,Female,28,Manchester,2024-09-09,Premium
1122,Female,64,Birmingham,2022-12-22,Premium
1123,Male,40,London,2024-02-17,Standard
1124,Male,33,Bristol,2024-07-09,Premium
1125,Male,48,London,2024-09-22,Standard
1126,Male,28,Manchester,2024-05-16,Standard
1127,Female,33,Liverpool,2022-02-06,Basic
1128,Female,25,London,2021-04-27,Standard
1129,Male,21,London,2021-06-02,Premium
1130,Female,57,Bristol,2020-06-03,Premium
1131,Male,21,Bristol,2020-04-01,Standard
1132,Male,42,Birmingham,2022-09-08,Basic
1133,Male,20,Bristol,2024-03-29,Premium
1134,Male,49,Leeds,2021-03-30,Basic
1135,Female,20,Manchester,2024-10-30,Premium
1136,Male,44,Manchester,2021-08-20,Standard
1137,Female,46,Liverpool,2024-07-26,Basic
1138,Female,49,Liverpool,2021-05-24,Basic
1139,Male,36,Manchester,2023-04-21,Basic
1140,Female,38,Liverpool,2021-01-20,Basic
1141,Female,22,Birmingham,2024-05-16,Standard
1142,Male,35,Bristol,2024-10-20,Basic
1143,Male,45,Manchester,2021-02-08,Premium
1144,Male,59,Liverpool,2020-09-02,Basic
1145,Male,39,Manchester,2022-01-11,Standard
1146,Male,38,Leeds,2024-06-02,Basic
1147,Female,23,London,2021-10-22,Standard
1148,Female,18,Bristol,2021-10-11,Standard
1149,Male,22,Manchester,2024-02-03,Standard
1150,Male,58,London,2023-12-17,Basic
1151,Female,29,Liverpool,2022-06-19,Premium
1152,Male,43,London,2020-03-05,Premium
1153,Male,63,Bristol,2022-11-02,Standard
1154,Male,51,Manchester,2020-07-31,Premium
1155,Female,31,Leeds,2020-08-29,Basic
1156,Male,43,Liverpool,2021-05-07,Standard
1157,Female,62,Manchester,2023-05-21,Basic
1158,Female,44,Bristol,2024-09-12,Standard
1159,Male,26,Liverpool,2020-12-03,Premium
1160,Female,43,Birmingham,2020-06-21,Basic
1161,Male,64,London,2021-11-02,Standard
1162,Female,39,Bristol,2020-06-12,Standard
1163,Female,64,Birmingham,2021-04-09,Standard
1164,Female,47,Manchester,2022-09-21,Basic
1165,Male,60,Leeds,2021-05-11,Standard
1166,Female,34,Liverpool,2021-11-30,Basic
1167,Male,43,London,2021-01-29,Basic
1168,Male,53,Liverpool,2021-12-03,Standard
1169,Male,18,Manchester,2020-11-03,Premium
1170,Female,25,Liverpool,2024-11-26,Standard
1171,Female,52,London,2020-07-01,Premium
1172,Male,32,Manchester,2021-09-20,Premium
1173,Female,64,Liverpool,2024-12-22,Standard
1174,Male,39,Leeds,2021-05-24,Standard
1175,Female,31,Bristol,2024-09-27,Basic
1176,Male,43,Manchester,2021-06-29,Basic
1177,Female,45,Bristol,2024-05-06,Basic
1178,Male,40,Manchester,2021-09-15,Standard
1179,Female,31,Leeds,2024-11-22,Standard
1180,Male,41,Bristol,2021-08-16,Standard
1181,Male,19,Birmingham,2022-01-13,Basic
1182,Male,62,London,2023-06-04,Premium
1183,Female,43,Birmingham,2024-11-03,Basic
1184,Female,31,Liverpool,2024-10-22,Standard
1185,Male,24,Leeds,2023-12-30,Standard
1186,Female,20,Birmingham,2023-12-16,Basic
1187,Female,64,Manchester,2021-07-07,Standard
1188,Female,40,Liverpool,2020-01-21,Basic
1189,Female,63,Liverpool,2021-07-07,Basic
1190,Male,60,Birmingham,2021-01-31,Standard
1191,Male,64,Birmingham,2021-09-16,Standard
1192,Female,62,Leeds,2020-04-14,Standard
1193,Female,35,London,2020-07-10,Basic
1194,Female,55,Birmingham,2020-01-17,Standard
1195,Male,52,Birmingham,2023-02-17,Standard
1196,Male,32,Bristol,2021-01-27,Standard
1197,Female,42,Manchester,2021-02-28,Basic
1198,Female,54,Bristol,2020-05-08,Premium
1199,Female,45,Bristol,2023-02-27,Basic
1200,Female,27,Liverpool,2021-07-25,Basic
1201,Female,56,London,2024-05-02,Premium
1202,Male,34,Manchester,2020-01-29,Standard
1203,Male,56,Leeds,2023-01-25,Basic
1204,Female,39,Leeds,2022-10-30,Premium
1205,Female,43,Birmingham,2020-08-29,Basic
1206,Male,61,Birmingham,2020-08-19,Standard
1207,Male,42,Leeds,2022-02-27,Standard
1208,Female,34,Birmingham,2023-07-31,Basic
1209,Male,30,London,2021-12-15,Standard
1210,Male,37,Bristol,2022-01-28,Standard
1211,Female,42,Birmingham,2022-03-12,Standard
1212,Female,21,Liverpool,2022-02-14,Standard
1213,Female,27,Birmingham,2021-12-26,Premium
1214,Male,20,Manchester,2020-07-18,Standard
1215,Female,58,London,2022-08-02,Basic
1216,Male,62,Manchester,2020-03-19,Standard
1217,Male,35,Manchester,2022-08-13,Standard
1218,Female,64,Liverpool,2022-05-05,Standard
1219,Female,53,London,2023-04-11,Basic
1220,Female,64,London,2021-04-11,Premium
1221,Female,39,London,2021-08-03,Basic
1222,Female,51,London,2023-12-10,Standard
1223,Male,64,London,2022-07-28,Standard
1224,Male,25,Liverpool,2021-03-24,Premium
1225,Male,57,Birmingham,2020-03-27,Premium
1226,Male,61,Manchester,2020-04-10,Standard
1227,Female,36,London,2022-10-28,Standard
1228,Male,59,Birmingham,2022-04-24,Basic
1229,Female,58,Birmingham,2023-05-08,Standard
1230,Female,54,Manchester,2024-03-08,Standard
1231,Female,23,Liverpool,2020-03-27,Standard
1232,Female,43,Leeds,2020-02-12,Basic
1233,Female,51,Leeds,2023-11-09,Premium
1234,Male,62,Birmingham,2024-07-02,Premium
1235,Male,23,Bristol,2023-12-29,Premium
1236,Female,54,Bristol,2021-02-11,Basic
1237,Male,50,Manchester,2024-02-15,Standard
1238,Male,39,Leeds,2021-10-25,Standard
1239,Female,38,Birmingham,2022-11-06,Basic
1240,Male,23,Liverpool,2024-07-26,Basic
1241,Female,23,Leeds,2020-05-27,Standard
1242,Female,21,Birmingham,2020-10-03,Basic
1243,Female,47,Birmingham,2020-08-19,Standard
1244,Male,28,London,2020-12-31,Premium
1245,Male,47,Liverpool,2023-06-05,Standard
1246,Female,48,London,2024-08-01,Premium
1247,Male,41,Manchester,2021-03-11,Standard
1248,Female,26,London,2021-02-02,Basic
1249,Female,20,London,2023-05-19,Premium
1250,Female,48,Leeds,2023-11-15,Premium
1251,Male,57,Bristol,2021-05-13,Standard
1252,Male,54,Birmingham,2021-06-23,Basic
1253,Female,53,Liverpool,2021-07-16,Standard
1254,Male,41,London,2024-02-23,Standard
1255,Male,48,Liverpool,2021-03-17,Premium
1256,Female,23,Bristol,2023-07-08,Premium
1257,Female,19,Bristol,2022-02-11,Basic
1258,Female,37,London,2020-12-15,Basic
1259,Female,45,Manchester,2023-10-07,Premium
1260,Male,28,London,2021-06-03,Basic
1261,Female,21,Leeds,2023-09-05,Standard
1262,Female,32,Birmingham,2020-05-17,Basic
1263,Male,23,Manchester,2024-04-22,Standard
1264,Female,47,London,2024-07-04,Standard
1265,Female,55,Liverpool,2022-09-18,Standard
1266,Female,19,Manchester,2021-01-02,Standard
1267,Female,32,Manchester,2023-05-28,Premium
1268,Female,28,London,2023-09-22,Premium
1269,Male,25,Manchester,2023-05-31,Standard
1270,Male,43,Liverpool,2024-07-29,Basic
1271,Female,62,Bristol,2024-11-26,Standard
1272,Female,61,Manchester,2020-12-25,Standard
1273,Female,22,Bristol,2022-07-09,Basic
1274,Female,23,Liverpool,2020-11-24,Premium
1275,Female,43,London,2022-08-19,Standard
1276,Female,21,Birmingham,2021-04-07,Standard
1277,Female,36,Manchester,2022-08-03,Basic
1278,Female,37,Birmingham,2022-08-20,Premium
1279,Female,50,Liverpool,2024-05-03,Standard
1280,Female,37,Manchester,2023-11-06,Basic
1281,Female,29,Bristol,2022-04-15,Basic
1282,Male,64,Leeds,2024-06-01,Standard
1283,Male,18,Birmingham,2024-06-28,Standard
1284,Male,43,Manchester,2020-06-17,Standard
1285,Female,31,Birmingham,2020-08-04,Basic
1286,Male,55,Manchester,2021-01-12,Standard
1287,Male,54,London,2020-04-28,Premium
1288,Female,28,Bristol,2020-07-08,Basic
1289,Male,53,Birmingham,2022-02-05,Standard
1290,Female,30,Leeds,2021-01-04,Standard
1291,Male,60,Leeds,2024-12-06,Standard
1292,Male,20,Liverpool,2020-05-28,Standard
1293,Female,50,Manchester,2024-08-26,Standard
1294,Male,23,Birmingham,2021-10-13,Standard
1295,Male,27,Liverpool,2024-02-20,Premium
1296,Female,22,Birmingham,2022-02-08,Standard
1297,Female,40,Manchester,2021-01-08,Basic
1298,Male,27,Leeds,2022-02-19,Premium
1299,Female,61,London,2024-09-12,Basic
1300,Male,19,Leeds,2020-06-08,Standard
1301,Male,30,Liverpool,2020-12-16,Basic
1302,Female,57,Bristol,2023-08-04,Basic
1303,Female,19,London,2023-08-04,Standard
1304,Female,37,Liverpool,2022-06-10,Basic
1305,Female,18,Manchester,2023-06-03,Basic
1306,Female,54,London,2021-06-06,Standard
1307,Female,26,Liverpool,2021-06-05,Standard
1308,Male,34,Manchester,2022-02-21,Standard
1309,Female,26,Leeds,2020-09-29,Basic
1310,Male,28,Bristol,2022-07-24,Basic
1311,Male,32,Manchester,2023-11-26,Basic
1312,Male,41,Birmingham,2020-07-01,Standard
1313,Male,55,Manchester,2024-08-15,Basic
1314,Female,52,Manchester,2021-05-02,Premium
1315,Female,47,Bristol,2022-04-25,Standard
1316,Female,48,Birmingham,2020-05-03,Premium
1317,Male,22,Liverpool,2022-09-11,Standard
1318,Male,61,Liverpool,2024-07-07,Standard
1319,Male,31,Manchester,2022-02-28,Standard
1320,Male,28,Birmingham,2021-02-17,Standard
1321,Female,26,Birmingham,2024-10-14,Standard
1322,Female,51,Bristol,2023-04-10,Standard
1323,Female,29,Leeds,2023-08-04,Standard
1324,Male,52,Liverpool,2023-12-29,Standard
1325,Female,52,Bristol,2021-11-16,Standard
1326,Female,18,London,2020-04-22,Premium
1327,Female,57,Liverpool,2022-06-06,Standard
1328,Female,39,Bristol,2020-05-01,Standard
1329,Male,46,Liverpool,2024-04-16,Standard
1330,Male,25,Leeds,2023-05-30,Standard
1331,Male,28,London,2024-07-12,Standard
1332,Female,58,Leeds,2020-02-08,Basic
1333,Male,54,London,2021-05-11,Standard
1334,Male,31,Manchester,2022-02-18,Standard
1335,Male,47,Bristol,2023-06-10,Premium
1336,Male,52,London,2022-07-31,Standard
1337,Female,38,Leeds,2024-04-02,Standard
1338,Female,54,Liverpool,2020-05-28,Standard
1339,Male,22,London,2023-11-21,Standard
1340,Male,36,Bristol,2022-10-18,Standard
1341,Male,31,London,2021-10-22,Standard
1342,Male,43,Birmingham,2024-07-19,Basic
1343,Male,21,Liverpool,2020-10-28,Basic
1344,Male,42,Bristol,2023-10-15,Basic
1345,Male,62,Bristol,2020-08-25,Basic
1346,Female,59,Manchester,2021-10-08,Premium
1347,Female,42,Leeds,2021-10-24,Premium
1348,Male,35,Manchester,2020-08-23,Premium
1349,Male,57,Bristol,2024-10-25,Standard
1350,Female,25,Liverpool,2020-07-21,Basic
1351,Female,56,London,2020-09-12,Standard
1352,Female,57,London,2021-08-20,Basic
1353,Female,31,Liverpool,2021-10-23,Premium
1354,Male,49,Bristol,2020-08-22,Basic
1355,Male,55,London,2023-09-30,Standard
1356,Female,50,London,2021-06-17,Premium
1357,Male,40,London,2022-05-09,Standard
1358,Female,32,Leeds,2024-12-25,Standard
1359,Female,50,Leeds,2024-12-09,Standard
1360,Female,42,Birmingham,2024-01-29,Standard
1361,Male,34,Manchester,2022-02-08,Basic
1362,Female,50,Liverpool,2021-06-24,Standard
1363,Male,64,Liverpool,2020-07-31,Standard
1364,Female,19,Liverpool,2021-04-07,Standard
1365,Female,31,Birmingham,2021-03-11,Basic
1366,Male,57,Leeds,2020-10-09,Standard
1367,Female,57,Bristol,2024-05-04,Standard
1368,Female,56,Bristol,2024-06-18,Premium
1369,Male,23,Birmingham,2024-01-26,Premium
1370,Male,23,Bristol,2023-12-01,Standard
1371,Male,20,Liverpool,2020-03-28,Premium
1372,Male,24,Manchester,2022-12-03,Standard
1373,Male,25,London,2021-04-05,Basic
1374,Female,59,Leeds,2020-10-04,Premium
1375,Male,32,Leeds,2024-09-02,Standard
1376,Male,64,Birmingham,2021-02-24,Standard
1377,Female,46,Leeds,2024-09-20,Basic
1378,Male,50,Liverpool,2023-10-08,Standard
1379,Female,47,Bristol,2021-11-26,Basic
1380,Male,56,Liverpool,2021-05-29,Standard
1381,Male,44,Birmingham,2021-12-03,Premium
1382,Female,53,Liverpool,2024-07-11,Standard
1383,Female,46,Bristol,2020-01-19,Basic
1384,Female,55,Manchester,2020-01-23,Standard
1385,Female,50,Birmingham,2021-02-16,Basic
1386,Female,54,Manchester,2022-11-19,Basic
1387,Male,44,London,2020-04-17,Standard
1388,Male,50,Manchester,2023-10-22,Standard
1389,Female,21,London,2023-07-28,Standard
1390,Female,39,London,2023-02-25,Standard
1391,Female,19,Manchester,2023-06-06,Basic
1392,Male,27,Birmingham,2023-02-08,Basic
1393,Male,22,Bristol,2020-05-15,Standard
1394,Female,27,Liverpool,2020-12-27,Standard
1395,Male,50,Liverpool,2023-04-24,Basic
1396,Female,55,Bristol,2024-08-06,Standard
1397,Female,30,London,2024-05-26,Basic
1398,Male,48,London,2020-05-08,Standard
1399,Female,64,Birmingham,2023-07-08,Standard
1400,Female,53,Leeds,2021-05-29,Premium
1401,Male,62,Manchester,2021-03-24,Standard
1402,Female,41,London,2023-02-01,Standard
1403,Female,32,Liverpool,2024-02-15,Standard
1404,Female,46,Birmingham,2023-06-01,Premium
1405,Male,25,Manchester,2022-05-23,Basic
