subscription_id,customer_id,plan_type,monthly_fee,start_date,status
2001,1001,Basic,20,2021-05-16,Active
2002,1002,Gold,50,2022-08-16,Active
2003,1003,Silver,30,2023-03-14,Active
2004,1004,Silver,30,2023-05-09,Churned
2005,1005,Basic,20,2022-07-17,Active
2006,1006,Basic,20,2024-10-13,Active
2007,1007,Basic,20,2021-04-05,Active
2008,1008,Gold,50,2022-01-01,Active
2009,1009,Silver,30,2022-01-21,Active
2010,1010,Silver,30,2022-07-13,Churned
2011,1011,Basic,20,2022-06-27,Churned
2012,1012,Gold,50,2024-04-30,Active
2013,1013,Gold,50,2024-04-19,Active
2014,1014,Basic,20,2023-06-30,Churned
2015,1015,Basic,20,2021-01-24,Active
2016,1016,Basic,20,2024-06-05,Active
2017,1017,Basic,20,2022-06-01,Active
2018,1018,Silver,30,2020-09-12,Active
2019,1019,Silver,30,2021-12-09,Active
2020,1020,Basic,20,2021-03-25,Active
2021,1021,Silver,30,2020-01-10,Churned
2022,1022,Basic,20,2022-04-03,Churned
2023,1023,Basic,20,2022-03-08,Active
2024,1024,Basic,20,2023-06-19,Active
2025,1025,Silver,30,2023-06-28,Churned
2026,1026,Gold,50,2022-05-26,Churned
2027,1027,Basic,20,2022-10-25,Active
2028,1028,Silver,30,2023-02-16,Churned
2029,1029,Silver,30,2022-10-12,Churned
2030,1030,Basic,20,2024-12-29,Active
2031,1031,Silver,30,2021-01-08,Active
2032,1032,Basic,20,2022-12-24,Active
2033,1033,Basic,20,2020-05-25,Active
2034,1034,Gold,50,2020-08-11,Active
2035,1035,Gold,50,2023-06-16,Churned
2036,1036,Gold,50,2020-06-25,Active
2037,1037,Basic,20,2024-12-07,Active
2038,1038,Basic,20,2022-05-02,Active
2039,1039,Silver,30,2023-07-29,Active
2040,1040,Silver,30,2020-03-03,Churned
2041,1041,Basic,20,2023-05-25,Active
2042,1042,Silver,30,2022-04-06,Active
2043,1043,Basic,20,2022-03-05,Active
2044,1044,Gold,50,2021-11-19,Active
2045,1045,Basic,20,2024-01-24,Active
2046,1046,Silver,30,2024-06-21,Active
2047,1047,Basic,20,2020-04-14,Active
2048,1048,Silver,30,2023-01-27,Active
2049,1049,Silver,30,2021-05-25,Active
2050,1050,Basic,20,2021-01-19,Active
2051,1051,Gold,50,2021-02-08,Churned
2052,1052,Gold,50,2022-04-02,Active
2053,1053,Gold,50,2021-06-01,Active
2054,1054,Gold,50,2021-04-20,Active
2055,1055,Silver,30,2021-12-09,Active
2056,1056,Gold,50,2024-07-26,Active
2057,1057,Basic,20,2022-02-09,Active
2058,1058,Basic,20,2023-12-31,Churned
2059,1059,Basic,20,2022-11-12,Active
2060,1060,Basic,20,2022-09-23,Active
2061,1061,Basic,20,2024-05-07,Active
2062,1062,Basic,20,2021-11-07,Churned
